x y vx vy mass charge
-31.3422 -35.1833 -0.00153816 -0.00196186 1 0.01
-41.2397 -23.376 -0.00286588 -0.00133498 1 0.01
-33.5618 -30.1365 -0.00190441 -0.00167961 1 0.01
-31.6313 -42.2152 4.69231e-05 -0.00231016 1 0.01
-15.3688 -45.6594 -0.000401182 -0.00244522 1 0.01
-12.7121 -42.9187 -0.00105392 -0.00294255 1 0.01
-10.3402 -53.4683 -0.000423751 -0.00252972 1 0.01
-8.7138 -50.03 7.89477e-05 -0.00247573 1 0.01
-40.7914 -31.7887 -0.00190727 -0.00143626 1 0.01
-45.933 -20.9835 -0.00278497 -0.0013431 1 0.01
-29.1326 -39.2152 -0.00100631 -0.00192141 1 0.01
-29.7438 -32.9181 -0.00171139 -0.00182396 1 0.01
-6.73816 -52.0554 -0.00050271 -0.002699 1 0.01
-31.7195 -41.1302 -0.000891051 -0.00195438 1 0.01
-27.8202 -42.845 -0.000941113 -0.00214173 1 0.01
-37.55 -38.488 -0.00162837 -0.00224495 1 0.01
-28.7133 -34.389 -0.00112395 -0.00171546 1 0.01
-4.63033 -42.8797 -8.56543e-05 -0.00242443 1 0.01
5.1902 -51.5721 4.96698e-05 -0.00235377 1 0.01
-0.369836 -50.983 -8.82358e-05 -0.00210692 1 0.01
-33.837 -38.1105 -0.00133085 -0.0024481 1 0.01
-21.7751 -40.4014 -0.000755824 -0.00172054 1 0.01
-44.6762 -29.9707 -0.00243324 -0.0011439 1 0.01
-18.1377 -46.2861 -0.000575352 -0.00260763 1 0.01
-12.4026 -50.2827 -0.000236108 -0.00278222 1 0.01
-10.8177 -44.8832 -8.1161e-05 -0.00271237 1 0.01
-25.6302 -45.852 -0.000517211 -0.00248911 1 0.01
-27.4953 -46.1022 -0.000713649 -0.0023952 1 0.01
-17.2112 -43.6582 -0.000554181 -0.0027804 1 0.01
-11.9245 -40.2989 -0.000158032 -0.00214146 1 0.01
-15.4262 -42.5362 -0.00064912 -0.00284325 1 0.01
-6.00141 -49.2917 -0.000449821 -0.00276798 1 0.01
-20.8822 -46.9254 -0.000681318 -0.00290608 1 0.01
-4.48475 -44.9496 -1.37991e-05 -0.00207226 1 0.01
-1.58923 -47.3395 -4.50365e-05 -0.00252506 1 0.01
5.50027 -45.6407 0.00032234 -0.00213892 1 0.01
-32.2871 -34.7473 -0.0016659 -0.00216473 1 0.01
-15.3998 -43.5779 -0.000660468 -0.00268119 1 0.01
1.45027 -50.8218 0.000136264 -0.00200772 1 0.01
-5.62247 -41.4053 -0.000250779 -0.00231768 1 0.01
-19.9618 -49.6149 -0.000163413 -0.00236492 1 0.01
-21.9208 -45.3863 -0.000547153 -0.00230306 1 0.01
-12.797 -40.86 -0.000446586 -0.00228397 1 0.01
-9.72217 -48.495 -0.000573694 -0.00256125 1 0.01
-18.1014 -43.1734 -0.000835657 -0.00237152 1 0.01
-36.0765 -32.9811 -0.00162208 -0.0017344 1 0.01
-22.5306 -48.2938 -0.00115128 -0.00251267 1 0.01
-7.89382 -48.366 -0.000445873 -0.00289511 1 0.01
-27.0877 -41.1351 -0.00049878 -0.00215301 1 0.01
11.9996 -46.5412 0.00059898 -0.00226534 1 0.01
-4.41044 -45.9907 -0.000297035 -0.0023337 1 0.01
10.3729 -40.9652 0.000426997 -0.00193652 1 0.01
37.4703 -36.7652 0.00193402 -0.00158599 1 0.01
-7.08229 -46.7204 -0.000234645 -0.00255585 1 0.01
16.2544 -50.3451 0.000744339 -0.00243203 1 0.01
12.5555 -43.8473 0.000874041 -0.00232375 1 0.01
2.01246 -47.0231 1.01747e-05 -0.00221497 1 0.01
-7.52817 -53.812 -0.000299187 -0.00274079 1 0.01
17.2643 -50.77 0.0010206 -0.00236461 1 0.01
27.3751 -45.3426 0.00117909 -0.0015174 1 0.01
1.62506 -42.8693 0.000294141 -0.00230897 1 0.01
6.79395 -49.2334 0.000306917 -0.00216812 1 0.01
15.2506 -49.9189 0.000673983 -0.00226228 1 0.01
-11.3254 -52.9777 2.93638e-05 -0.00276159 1 0.01
12.2709 -48.6428 0.000730874 -0.00236884 1 0.01
30.2101 -40.327 0.00179926 -0.00168506 1 0.01
-7.82896 -49.4284 -0.000104839 -0.0026915 1 0.01
20.1796 -44.9384 0.00129248 -0.00234998 1 0.01
-5.34611 -45.5396 0.000119011 -0.00250972 1 0.01
-4.10098 -50.2181 4.77549e-06 -0.00277892 1 0.01
5.6102 -46.6846 0.000415541 -0.00208565 1 0.01
10.0552 -45.7004 0.000278646 -0.00170537 1 0.01
16.4946 -45.4681 0.000782342 -0.00232255 1 0.01
-6.80848 -50.9694 0.000120756 -0.00282528 1 0.01
7.76142 -49.6737 0.000357294 -0.00211072 1 0.01
29.3207 -43.0897 0.00165653 -0.00176335 1 0.01
23.8802 -39.8655 0.00151601 -0.00174181 1 0.01
16.9656 -48.6159 0.000984707 -0.00233516 1 0.01
9.71062 -50.5535 0.000484329 -0.00218128 1 0.01
18.6316 -41.4961 0.00106713 -0.00208497 1 0.01
30.235 -41.4213 0.00172448 -0.00199938 1 0.01
11.4538 -42.405 0.00051677 -0.00181845 1 0.01
31.7758 -33.8109 0.00137098 -0.00169019 1 0.01
39.8884 -31.8058 0.00190139 -0.00186475 1 0.01
15.4993 -45.068 0.000973049 -0.00216183 1 0.01
19.3437 -45.6026 0.000984077 -0.00200732 1 0.01
5.41477 -53.8014 0.000323306 -0.00265324 1 0.01
24.6113 -42.5483 0.00142482 -0.00200246 1 0.01
-11.7904 -43.3835 -0.000379153 -0.00250708 1 0.01
38.2004 -34.0332 0.00141897 -0.00140527 1 0.01
20.8919 -49.1933 0.00106205 -0.00230831 1 0.01
25.5478 -33.5236 0.00115852 -0.00171213 1 0.01
11.4188 -49.278 0.00105152 -0.00202491 1 0.01
34.3037 -19.0946 0.00189909 -0.000943553 1 0.01
17.978 -49.0299 0.00108514 -0.00213625 1 0.01
28.2547 -35.0161 0.00178822 -0.00187176 1 0.01
48.9108 11.5044 0.00306252 -0.000974554 1 0.01
15.6554 -46.1049 0.00130716 -0.00200922 1 0.01
29.3167 -41.9854 0.00186142 -0.00210064 1 0.01
34.7024 -37.4344 0.0017924 -0.00177936 1 0.01
-52.3947 -5.76659 -0.00244491 -0.00043916 1 0.01
-38.5364 -38.0682 -0.00142424 -0.00212371 1 0.01
-47.8386 -15.8539 -0.00223463 -0.000886897 1 0.01
-24.6643 -30.3161 -0.001332 -0.0013322 1 0.01
-32.7808 -39.6165 -0.000786733 -0.00217283 1 0.01
-30.0044 -29.8162 -0.00174558 -0.00142628 1 0.01
-42.8794 -27.692 -0.00228818 -0.00110512 1 0.01
-24.6498 -46.2734 -0.000815207 -0.00248121 1 0.01
-30.6773 -32.4852 -0.00170131 -0.00174063 1 0.01
-10.5543 -50.1606 -0.000269895 -0.00263943 1 0.01
18.2697 -51.2137 0.000770406 -0.00194319 1 0.01
-34.8 -37.6716 -0.00133372 -0.00208812 1 0.01
-26.8417 -43.2709 -0.000604373 -0.00205451 1 0.01
-19.0124 -47.9364 -0.000541693 -0.0028799 1 0.01
-13.2456 -51.9773 -0.00061015 -0.00336859 1 0.01
-9.53872 -51.7204 -0.000244129 -0.00253161 1 0.01
-26.57 -28.4546 -0.00136904 -0.00173354 1 0.01
12.663 -51.8677 0.000613668 -0.00227065 1 0.01
-2.36569 -49.0001 3.55915e-05 -0.00259212 1 0.01
-16.3097 -43.0981 -0.000827157 -0.00251909 1 0.01
-23.6601 -39.6155 -0.000550289 -0.00203981 1 0.01
-10.1893 -39.1676 -0.000272553 -0.00215524 1 0.01
-14.6312 -39.9207 -0.000817516 -0.00241168 1 0.01
-9.83388 -46.3888 -0.000421205 -0.00245941 1 0.01
3.06354 -48.5209 0.000399822 -0.00249923 1 0.01
-1.07989 -42.5875 -2.6427e-05 -0.00225111 1 0.01
-12.8392 -39.8382 -0.000447612 -0.00216762 1 0.01
-8.89669 -46.8503 -0.000116242 -0.00277748 1 0.01
-26.1176 -41.5604 -0.000653357 -0.00208049 1 0.01
15.9605 -48.2033 0.000787025 -0.00211431 1 0.01
-11.0548 -39.7349 -0.000194448 -0.00265542 1 0.01
-14.4578 -45.0946 -0.000272618 -0.00234594 1 0.01
-4.25892 -48.0895 8.41914e-05 -0.00216019 1 0.01
10.8919 -45.0828 0.000670449 -0.00208201 1 0.01
-21.5779 -34.6561 -0.000716724 -0.00199436 1 0.01
32.9114 -38.5993 0.00157404 -0.00174412 1 0.01
-11.8352 -42.3509 -0.000630267 -0.00234085 1 0.01
-6.54057 -40.9598 -0.000122888 -0.00212979 1 0.01
-7.45629 -40.5133 -0.000533595 -0.00206059 1 0.01
-13.4505 -47.6681 0.000106449 -0.00289353 1 0.01
-0.0597434 -44.0594 -8.38328e-05 -0.0019398 1 0.01
-19.945 -47.4266 -0.000665895 -0.00248446 1 0.01
0.588985 -51.4433 0.000262812 -0.00268536 1 0.01
-10.0427 -42.239 -0.000395292 -0.00230621 1 0.01
-0.820146 -45.6939 8.09223e-05 -0.00245722 1 0.01
4.87136 -48.3505 0.00039841 -0.00267012 1 0.01
-4.74468 -54.1313 0.000198435 -0.00241386 1 0.01
6.5671 -47.1196 0.000348213 -0.00192965 1 0.01
-4.55789 -43.9125 -5.2916e-05 -0.00245365 1 0.01
-3.85363 -53.4924 -0.000196385 -0.00251489 1 0.01
-4.18105 -49.1495 -0.000467885 -0.00300322 1 0.01
-1.01213 -53.8294 0.000157784 -0.00291298 1 0.01
-2.09775 -52.235 0.000209468 -0.00231399 1 0.01
-25.2851 -40.9199 -0.000526994 -0.00201415 1 0.01
2.96239 -47.4659 0.000275002 -0.00253082 1 0.01
3.36597 -51.7499 -9.72473e-05 -0.0025012 1 0.01
12.6977 -44.8794 0.00109188 -0.00233115 1 0.01
21.234 -40.528 0.00141434 -0.00160334 1 0.01
9.67365 -42.5997 0.000910942 -0.00201379 1 0.01
13.8235 -46.3298 0.000602135 -0.00209399 1 0.01
-1.90398 -54.4638 0.000189635 -0.00251264 1 0.01
13.1209 -48.0087 0.000573656 -0.0021653 1 0.01
-1.41578 -49.4546 -0.000236211 -0.002609 1 0.01
2.46294 -42.2743 0.000167019 -0.00233975 1 0.01
-17.1247 -48.9353 -0.000971796 -0.00265734 1 0.01
13.2588 -49.0675 0.000722392 -0.00210399 1 0.01
4.97851 -49.4134 3.82613e-05 -0.00244057 1 0.01
21.8439 -43.5782 0.00089009 -0.00252164 1 0.01
-3.39363 -47.4898 -0.000226804 -0.00253213 1 0.01
16.9933 -42.7744 0.00101027 -0.00231746 1 0.01
18.6706 -47.3101 0.000928338 -0.00195703 1 0.01
17.4965 -45.8648 0.000661751 -0.00251751 1 0.01
26.4492 -34.0193 0.00147481 -0.00121437 1 0.01
12.826 -39.129 0.000918249 -0.00201566 1 0.01
14.3908 -50.5699 0.000451104 -0.00203955 1 0.01
26.5407 -41.4657 0.00166418 -0.00206191 1 0.01
-7.76191 -50.4998 -0.000175192 -0.00254849 1 0.01
17.1167 -49.6861 0.000474016 -0.0026021 1 0.01
4.01966 -48.9671 0.000486639 -0.0021994 1 0.01
22.0204 -44.6199 0.00135455 -0.00252305 1 0.01
22.3994 -46.7392 0.00132951 -0.0025758 1 0.01
7.17806 -44.4249 0.000635665 -0.0021056 1 0.01
39.1897 -34.5355 0.0018091 -0.00169969 1 0.01
17.2576 -39.1067 0.00117863 -0.00185068 1 0.01
-8.13953 -44.1815 0.000136734 -0.00222491 1 0.01
12.414 -42.8183 0.00139977 -0.00199023 1 0.01
32.9621 -39.6897 0.00176795 -0.00164875 1 0.01
22.9808 -38.3071 0.00121193 -0.00190644 1 0.01
26.5512 -38.2569 0.00190478 -0.0018803 1 0.01
38.7399 -29.1986 0.00219209 -0.00111374 1 0.01
18.9873 -38.8815 0.0012135 -0.00180657 1 0.01
-11.5591 -48.6167 -0.000330323 -0.00281683 1 0.01
30.1505 -38.1598 0.00163874 -0.0019915 1 0.01
16.109 -49.2675 0.000663775 -0.00244148 1 0.01
48.9132 -17.8428 0.00222789 -0.00169292 1 0.01
35.8399 -40.1072 0.00192256 -0.00205828 1 0.01
51.0886 -11.6293 0.00199031 -0.00113573 1 0.01
27.0883 -29.3214 0.00148152 -0.000849723 1 0.01
29.0262 -32.3493 0.00162072 -0.00111981 1 0.01
25.4445 -31.4585 0.00155358 -0.00152679 1 0.01
-50.1764 -9.81484 -0.00272602 -0.000601062 1 0.01
-27.8777 -33.7776 -0.00126992 -0.00196999 1 0.01
-30.2982 -36.6689 -0.00150938 -0.00194233 1 0.01
-27.9754 -32.7407 -0.00168838 -0.00185221 1 0.01
-43.067 -23.4713 -0.00227941 -0.000992359 1 0.01
-31.1492 -37.2912 -0.000981719 -0.00239543 1 0.01
-30.3976 -35.6175 -0.00132013 -0.0017694 1 0.01
-39.5964 -36.5196 -0.00126567 -0.00151619 1 0.01
11.1568 -47.1665 0.000514289 -0.00254654 1 0.01
-25.8604 -43.6938 -0.000542986 -0.00232431 1 0.01
-29.9848 -39.8478 -0.000946745 -0.00169282 1 0.01
-38.1861 -28.9384 -0.00209197 -0.00157486 1 0.01
-29.8782 -40.9156 -0.000579247 -0.00183377 1 0.01
-18.026 -50.6277 -0.000455699 -0.0025684 1 0.01
-32.0074 -37.9167 -0.00107375 -0.00184611 1 0.01
1.06547 -46.5804 -5.73128e-06 -0.00232758 1 0.01
-40.7289 -32.8512 -0.00230255 -0.00150949 1 0.01
-24.3686 -33.4026 -0.000891278 -0.00158898 1 0.01
-1.32622 -50.5251 0.000108247 -0.0023137 1 0.01
1.16014 -47.6294 0.000391073 -0.00238605 1 0.01
-2.85352 -42.7367 0.000138397 -0.00243144 1 0.01
-28.2892 -38.5847 -0.00133993 -0.00185859 1 0.01
-19.117 -33.7643 -0.00102262 -0.00117946 1 0.01
-11.3926 -51.8632 4.57856e-05 -0.00308845 1 0.01
-13.594 -43.4864 -0.000531106 -0.00270904 1 0.01
-2.87689 -53.9641 2.78702e-05 -0.0027178 1 0.01
-15.505 -40.4652 -0.000600865 -0.00252362 1 0.01
7.9948 -51.8352 0.000594732 -0.00215879 1 0.01
-8.07996 -45.2199 -0.000273768 -0.00198179 1 0.01
-3.4724 -46.441 0.000338353 -0.00179728 1 0.01
-0.907276 -44.6545 -0.000498374 -0.00222068 1 0.01
-2.19229 -51.1444 -0.000188363 -0.00252133 1 0.01
-1.84214 -44.2121 2.29376e-06 -0.002284 1 0.01
