x y vx vy charge mass
4.5 0.5 0 0 0.05 1
-4.5 -1.5 0 0 -0.05 1
-4.5 1.5 0 0 0.05 1
4.5 -1.5 0 0 -0.05 1
4.5 1.5 0 0 0.05 1
-4.5 -2.5 0 0 -0.05 1
-4.5 2.5 0 0 0.05 1
4.5 -2.5 0 0 -0.05 1
4.5 2.5 0 0 0.05 1
-4.5 -3.5 0 0 -0.05 1
-4.5 3.5 0 0 0.05 1
4.5 -3.5 0 0 -0.05 1
4.5 3.5 0 0 0.05 1
-4.5 -4.5 0 0 -0.05 1
-4.5 4.5 0 0 0.05 1
4.5 -4.5 0 0 -0.05 1
4.5 4.5 0 0 0.05 1
-4.5 -5.5 0 0 -0.05 1
-4.5 5.5 0 0 0.05 1
4.5 -5.5 0 0 -0.05 1
4.5 5.5 0 0 0.05 1
-4.5 -6.5 0 0 -0.05 1
-4.5 6.5 0 0 0.05 1
4.5 -6.5 0 0 -0.05 1
4.5 6.5 0 0 0.05 1
-4.5 -7.5 0 0 -0.05 1
-4.5 7.5 0 0 0.05 1
4.5 -7.5 0 0 -0.05 1
4.5 7.5 0 0 0.05 1
-4.5 -8.5 0 0 -0.05 1
-4.5 8.5 0 0 0.05 1
4.5 -8.5 0 0 -0.05 1
4.5 8.5 0 0 0.05 1
-4.5 -9.5 0 0 -0.05 1
-4.5 9.5 0 0 0.05 1
4.5 -9.5 0 0 -0.05 1
4.5 9.5 0 0 0.05 1
-5.5 -0.5 0 0 -0.05 1
-5.5 0.5 0 0 0.05 1
5.5 -0.5 0 0 -0.05 1
5.5 0.5 0 0 0.05 1
-5.5 -1.5 0 0 -0.05 1
-5.5 1.5 0 0 0.05 1
5.5 -1.5 0 0 -0.05 1
5.5 1.5 0 0 0.05 1
-5.5 -2.5 0 0 -0.05 1
-5.5 2.5 0 0 0.05 1
5.5 -2.5 0 0 -0.05 1
5.5 2.5 0 0 0.05 1
-5.5 -3.5 0 0 -0.05 1
-5.5 3.5 0 0 0.05 1
5.5 -3.5 0 0 -0.05 1
5.5 3.5 0 0 0.05 1
-5.5 -4.5 0 0 -0.05 1
-5.5 4.5 0 0 0.05 1
5.5 -4.5 0 0 -0.05 1
5.5 4.5 0 0 0.05 1
-5.5 -5.5 0 0 -0.05 1
-5.5 5.5 0 0 0.05 1
5.5 -5.5 0 0 -0.05 1
5.5 5.5 0 0 0.05 1
-5.5 -6.5 0 0 -0.05 1
-5.5 6.5 0 0 0.05 1
5.5 -6.5 0 0 -0.05 1
5.5 6.5 0 0 0.05 1
-5.5 -7.5 0 0 -0.05 1
-5.5 7.5 0 0 0.05 1
5.5 -7.5 0 0 -0.05 1
5.5 7.5 0 0 0.05 1
-5.5 -8.5 0 0 -0.05 1
-5.5 8.5 0 0 0.05 1
5.5 -8.5 0 0 -0.05 1
5.5 8.5 0 0 0.05 1
-5.5 -9.5 0 0 -0.05 1
-5.5 9.5 0 0 0.05 1
5.5 -9.5 0 0 -0.05 1
5.5 9.5 0 0 0.05 1
-6.5 -0.5 0 0 -0.05 1
-6.5 0.5 0 0 0.05 1
6.5 -0.5 0 0 -0.05 1
6.5 0.5 0 0 0.05 1
-6.5 -1.5 0 0 -0.05 1
-6.5 1.5 0 0 0.05 1
6.5 -1.5 0 0 -0.05 1
6.5 1.5 0 0 0.05 1
-6.5 -2.5 0 0 -0.05 1
-6.5 2.5 0 0 0.05 1
6.5 -2.5 0 0 -0.05 1
6.5 2.5 0 0 0.05 1
-6.5 -3.5 0 0 -0.05 1
-6.5 3.5 0 0 0.05 1
6.5 -3.5 0 0 -0.05 1
6.5 3.5 0 0 0.05 1
-6.5 -4.5 0 0 -0.05 1
-6.5 4.5 0 0 0.05 1
6.5 -4.5 0 0 -0.05 1
6.5 4.5 0 0 0.05 1
-6.5 -5.5 0 0 -0.05 1
-6.5 5.5 0 0 0.05 1
6.5 -5.5 0 0 -0.05 1
6.5 5.5 0 0 0.05 1
-6.5 -6.5 0 0 -0.05 1
-6.5 6.5 0 0 0.05 1
6.5 -6.5 0 0 -0.05 1
6.5 6.5 0 0 0.05 1
-6.5 -7.5 0 0 -0.05 1
-6.5 7.5 0 0 0.05 1
6.5 -7.5 0 0 -0.05 1
6.5 7.5 0 0 0.05 1
-6.5 -8.5 0 0 -0.05 1
-6.5 8.5 0 0 0.05 1
6.5 -8.5 0 0 -0.05 1
6.5 8.5 0 0 0.05 1
-6.5 -9.5 0 0 -0.05 1
-6.5 9.5 0 0 0.05 1
6.5 -9.5 0 0 -0.05 1
6.5 9.5 0 0 0.05 1
-7.5 -0.5 0 0 -0.05 1
-7.5 0.5 0 0 0.05 1
7.5 -0.5 0 0 -0.05 1
7.5 0.5 0 0 0.05 1
-7.5 -1.5 0 0 -0.05 1
-7.5 1.5 0 0 0.05 1
7.5 -1.5 0 0 -0.05 1
7.5 1.5 0 0 0.05 1
-7.5 -2.5 0 0 -0.05 1
-7.5 2.5 0 0 0.05 1
7.5 -2.5 0 0 -0.05 1
7.5 2.5 0 0 0.05 1
-7.5 -3.5 0 0 -0.05 1
-7.5 3.5 0 0 0.05 1
7.5 -3.5 0 0 -0.05 1
7.5 3.5 0 0 0.05 1
-7.5 -4.5 0 0 -0.05 1
-7.5 4.5 0 0 0.05 1
7.5 -4.5 0 0 -0.05 1
7.5 4.5 0 0 0.05 1
-7.5 -5.5 0 0 -0.05 1
-7.5 5.5 0 0 0.05 1
7.5 -5.5 0 0 -0.05 1
7.5 5.5 0 0 0.05 1
-7.5 -6.5 0 0 -0.05 1
-7.5 6.5 0 0 0.05 1
7.5 -6.5 0 0 -0.05 1
7.5 6.5 0 0 0.05 1
